time,timestamp,aX(m/s²),aY(m/s²),aZ(m/s²),nozzle_tem,bed_tem,THE(°C),current_layer,total_layers,OT
2025-03-04-20-29-00,105128096,-0.129,0.096,-0.196,250,70,31.5,1,206,0
2025-03-04-20-29-01,105129119,-0.057,0.024,-0.187,250,70,31.5,1,206,0
2025-03-04-20-29-02,105130142,-0.546,-0.345,-0.215,250,70,31.51,1,206,0
2025-03-04-20-29-03,105131132,-0.01,0.005,-0.211,250,70,31.52,1,206,0
2025-03-04-20-29-04,105132122,0,0.057,-0.206,250,70,31.52,1,206,0
2025-03-04-20-29-05,105133112,-0.005,-0.077,-0.191,250,70,31.53,1,206,0
2025-03-04-20-29-06,105134102,-0.335,-0.019,-0.191,250,70,31.54,1,206,0
2025-03-04-20-29-07,105135125,-0.024,-0.067,-0.206,250,70,31.54,1,206,0
2025-03-04-20-29-08,105136115,0.005,-0.072,-0.187,250,70,31.55,1,206,0
2025-03-04-20-29-09,105137105,-0.01,-0.053,-0.153,250,70,31.56,1,206,0
2025-03-04-20-29-10,105138095,-0.048,-0.105,-0.225,250,70,31.57,1,206,0
2025-03-04-20-29-11,105139118,0.005,-0.345,-0.172,250,70,31.57,1,206,0
2025-03-04-20-29-12,105140042,0,0.354,-0.187,250,70,31.57,1,206,0
2025-03-04-20-29-13,105141098,-0.273,-0.158,-0.191,250,70,31.58,1,206,0
2025-03-04-20-29-14,105142055,-0.096,0.01,-0.196,250,70,31.59,1,206,0
2025-03-04-20-29-15,105143078,0.584,0.067,-0.201,250,70,31.61,1,206,0
2025-03-04-20-29-16,105144101,0.072,0.388,-0.201,250,70,31.61,1,206,0
2025-03-04-20-29-17,105145025,0.234,0.115,-0.182,250,70,31.62,1,206,0
2025-03-04-20-29-18,105146081,0.019,1.464,-0.23,250,70,31.63,1,206,0
2025-03-04-20-29-19,105147137,-0.129,0.115,-0.196,250,70,31.64,1,206,0
2025-03-04-20-29-20,105148094,0.144,-0.656,-0.196,250,70,31.65,1,206,0
2025-03-04-20-29-21,105149117,0.234,-0.263,-0.196,250,70,31.66,1,206,0
2025-03-04-20-29-22,105150107,-0.215,0.646,-0.182,250,70,31.67,1,206,0
2025-03-04-20-29-23,105151097,-0.368,-1.101,-0.191,250,70,31.68,1,206,0
2025-03-04-20-29-24,105152087,0.244,0.282,-0.215,250,70,31.68,1,206,0
2025-03-04-20-29-25,105153110,0.029,0.148,-0.206,250,70,31.69,1,206,0
2025-03-04-20-29-26,105154133,-0.196,-0.368,-0.201,250,70,31.69,1,206,0
2025-03-04-20-29-27,105155123,-0.024,0.029,-0.215,250,70,31.7,1,206,0
2025-03-04-20-29-28,105156113,0.392,-0.373,-0.206,250,70,31.71,1,206,0
2025-03-04-20-29-29,105157136,0.345,0.187,-0.254,250,70,31.72,1,206,0
2025-03-04-20-29-30,105158093,0.024,-0.268,-0.201,250,70,31.72,1,206,0
2025-03-04-20-29-31,105159149,-0.167,-0.321,-0.201,250,70,31.74,1,206,0
2025-03-04-20-29-32,105160106,0.014,0.244,-0.201,250,70,31.74,1,206,0
2025-03-04-20-29-33,105161063,-0.234,-0.464,-0.201,250,70,31.75,1,206,0
2025-03-04-20-29-34,105162119,0.378,0.072,-0.201,250,70,31.76,1,206,0
2025-03-04-20-29-35,105163109,-0.11,0.096,-0.206,250,70,31.77,1,206,0
2025-03-04-20-29-36,105164099,0.148,0.105,-0.206,250,70,31.77,1,206,0
2025-03-04-20-29-37,105165089,0.014,-0.014,-0.215,250,70,31.78,1,206,0
2025-03-04-20-29-38,105166079,-0.316,0.22,-0.191,250,70,31.79,1,206,0
2025-03-04-20-29-39,105167102,-0.301,0.287,-0.201,250,70,31.8,1,206,0
2025-03-04-20-29-40,105168092,-0.742,0.206,-0.211,250,70,31.8,1,206,0
2025-03-04-20-29-41,105169115,0.445,0.364,-0.201,250,70,31.81,1,206,0
2025-03-04-20-29-42,105170072,-0.254,-0.062,-0.201,250,70,31.82,1,206,0
2025-03-04-20-29-43,105171128,0.746,1.182,-0.206,250,70,31.82,1,206,0
2025-03-04-20-29-44,105172085,-0.407,-0.048,-0.206,250,70,31.84,1,206,0
2025-03-04-20-29-45,105173075,0.191,0.33,-0.182,250,70,31.84,1,206,0
2025-03-04-20-29-46,105174098,-0.526,-0.033,-0.201,250,70,31.85,1,206,0
2025-03-04-20-29-47,105175121,0.062,0.062,-0.206,250,70,31.86,1,206,0
2025-03-04-20-29-48,105176045,0.077,0.033,-0.211,250,70,31.86,1,206,0
2025-03-04-20-29-49,105177101,0.167,-0.412,-0.211,250,70,31.88,1,206,0
2025-03-04-20-29-50,105178124,0.392,-0.072,-0.211,250,70,31.88,1,206,0
2025-03-04-20-29-51,105179114,-0.349,0.12,-0.201,250,70,31.89,1,206,0
2025-03-04-20-29-52,105180038,-0.12,-0.167,-0.196,250,70,31.89,1,206,0
2025-03-04-20-29-53,105181127,0,-0.091,-0.206,250,70,31.91,1,206,0
2025-03-04-20-29-54,105182084,0.316,-0.297,-0.211,250,70,31.92,1,206,0
2025-03-04-20-29-55,105183140,-0.206,0.191,-0.211,250,70,31.92,1,206,0
2025-03-04-20-29-56,105184097,-0.292,0.158,-0.206,250,70,31.93,1,206,0
2025-03-04-20-29-57,105185087,-0.297,-0.077,-0.206,250,70,31.94,1,206,0
2025-03-04-20-29-58,105186110,-0.148,0.593,-0.206,250,70,31.94,1,206,0
2025-03-04-20-29-59,105187133,0.345,1.445,-0.211,250,70,31.95,1,206,0
2025-03-04-20-30-00,105188057,-0.627,-0.316,-0.22,250,70,31.96,1,206,0
2025-03-04-20-30-01,105189146,-0.33,0.498,-0.211,250,70,31.97,1,206,0
2025-03-04-20-30-02,105190103,-0.378,-0.464,-0.201,250,70,31.98,1,206,0
2025-03-04-20-30-03,105191126,-0.177,-0.196,-0.206,250,70,31.99,1,206,0
2025-03-04-20-30-04,105192116,0.115,-0.091,-0.211,250,70,31.99,1,206,0
2025-03-04-20-30-05,105193139,-0.019,-0.115,-0.211,250,70,32,1,206,0
2025-03-04-20-30-06,105194063,-0.124,0,-0.211,250,70,32.01,1,206,0
2025-03-04-20-30-07,105195119,0.1,-0.378,-0.196,250,70,32.02,1,206,0
2025-03-04-20-30-08,105196109,-0.292,-0.048,-0.22,250,70,32.02,1,206,0
2025-03-04-20-30-09,105197099,-0.368,0.254,-0.215,250,70,32.03,1,206,0
2025-03-04-20-30-10,105198122,-0.153,-0.191,-0.211,250,70,32.04,1,206,0
2025-03-04-20-30-11,105199079,0.129,0.134,-0.215,250,70,32.05,1,206,0
2025-03-04-20-30-12,105200069,0.077,0.833,-0.215,250,70,32.05,1,206,0
2025-03-04-20-30-13,105201092,0.388,0.091,-0.215,250,70,32.06,1,206,0
2025-03-04-20-30-14,105202082,-0.316,-0.445,-0.215,250,70,32.07,1,206,0
2025-03-04-20-30-15,105203072,-0.479,-0.067,-0.211,250,70,32.08,1,206,0
2025-03-04-20-30-16,105204128,0.1,0.057,-0.211,250,70,32.08,1,206,0
2025-03-04-20-30-17,105205118,-0.081,-0.072,-0.215,250,70,32.09,1,206,0
2025-03-04-20-30-18,105206075,0.455,0.206,-0.215,250,70,32.1,1,206,0
2025-03-04-20-30-19,105207098,0,-0.024,-0.215,250,70,32.12,1,206,0
2025-03-04-20-30-20,105208088,-0.818,-0.388,-0.215,250,70,32.12,1,206,0
2025-03-04-20-30-21,105209078,0.306,0.033,-0.211,250,70,32.13,1,206,0
2025-03-04-20-30-22,105210101,0.081,0.038,-0.22,250,70,32.14,2,206,0
2025-03-04-20-30-23,105211058,0.301,0.469,-0.201,250,70,32.14,2,206,0
2025-03-04-20-30-24,105212081,-0.55,-0.038,-0.225,250,70,32.16,2,206,0
2025-03-04-20-30-25,105213071,0.019,0.211,-0.215,250,70,32.16,2,206,0
2025-03-04-20-30-26,105214094,-0.55,-0.546,-0.23,250,70,32.16,2,206,0
2025-03-04-20-30-27,105215084,-0.167,-1.081,-0.206,249,70,32.18,2,206,0
2025-03-04-20-30-28,105216074,0.01,0.129,-0.23,249,70,32.19,2,206,0
2025-03-04-20-30-29,105217130,-0.005,0.067,-0.215,248,70,32.2,2,206,0
2025-03-04-20-30-30,105218087,-0.201,-0.517,-0.158,247,70,32.21,2,206,0
2025-03-04-20-30-31,105219110,-0.924,-0.22,-0.033,246,70,32.21,2,206,0
2025-03-04-20-30-32,105220067,0.081,0.124,-0.23,246,70,32.22,2,206,0
2025-03-04-20-30-33,105221090,-1.828,0.919,-0.254,246,70,32.24,2,206,0
2025-03-04-20-30-34,105222146,-0.01,0.268,-0.282,245,70,32.24,2,206,0
2025-03-04-20-30-35,105223136,-0.029,0.115,-0.263,245,70,32.24,2,206,0
2025-03-04-20-30-36,105224093,-0.517,0.938,-0.211,245,70,32.26,2,206,0
2025-03-04-20-30-37,105225116,2.216,-1.34,-0.22,245,70,32.27,2,206,0
2025-03-04-20-30-38,105226106,-0.048,0.163,-0.187,245,70,32.27,2,206,0
2025-03-04-20-30-39,105227096,0.019,-0.038,-0.215,245,70,32.28,2,206,0
2025-03-04-20-30-40,105228053,0.048,-0.01,-0.129,245,70,32.29,2,206,0
2025-03-04-20-30-41,105229109,0.144,-0.014,-0.215,245,70,32.3,2,206,0
2025-03-04-20-30-42,105230099,0.129,-0.077,-0.211,245,70,32.32,2,206,0
2025-03-04-20-30-43,105231089,0.148,-0.096,-0.22,245,70,32.32,2,206,0
2025-03-04-20-30-44,105232112,-0.005,0.091,-0.206,245,70,32.33,2,206,0
2025-03-04-20-30-45,105233069,-0.139,-0.057,-0.225,245,70,32.33,2,206,0
2025-03-04-20-30-46,105234125,-0.033,0.038,-0.144,245,70,32.34,2,206,0
2025-03-04-20-30-47,105235115,-0.086,-0.057,-0.297,245,70,32.35,2,206,0
2025-03-04-20-30-48,105236072,0.005,0.244,-0.23,245,70,32.36,2,206,0
2025-03-04-20-30-49,105237095,1.818,0.455,-0.244,245,70,32.37,2,206,0
2025-03-04-20-30-50,105238085,0.249,-0.029,-0.249,245,70,32.38,2,206,0
2025-03-04-20-30-51,105239108,-0.01,0.024,-0.234,245,70,32.39,2,206,0
2025-03-04-20-30-52,105240098,-0.043,0.105,-0.182,245,70,32.39,2,206,0
2025-03-04-20-30-53,105241121,-0.172,0.225,-0.23,245,70,32.4,2,206,0
2025-03-04-20-30-54,105242078,1.177,-2.584,-0.234,245,70,32.41,2,206,0
2025-03-04-20-30-55,105243134,0.23,0.139,-0.211,245,70,32.42,2,206,0
2025-03-04-20-30-56,105244058,-0.153,0.254,-0.22,245,70,32.42,2,206,0
2025-03-04-20-30-57,105245081,0.086,0.081,-0.191,245,70,32.43,2,206,0
2025-03-04-20-30-58,105246137,-0.029,-0.043,-0.22,245,70,32.44,2,206,0
2025-03-04-20-30-59,105247127,-0.043,-0.072,-0.23,245,70,32.45,2,206,0
2025-03-04-20-31-00,105248051,0.033,0.005,-0.254,245,70,32.46,2,206,0
2025-03-04-20-31-01,105249107,0.033,0.153,-0.201,245,70,32.46,2,206,0
2025-03-04-20-31-02,105250130,0.144,0.019,-0.301,245,70,32.47,2,206,0
2025-03-04-20-31-03,105251120,-0.139,-0.096,-0.22,245,70,32.48,2,206,0
2025-03-04-20-31-04,105252110,-2.622,2.814,-0.182,245,70,32.49,2,206,0
2025-03-04-20-31-05,105253067,0.153,0.014,-0.225,245,70,32.5,2,206,0
2025-03-04-20-31-06,105254123,0,0.196,-0.22,245,70,32.51,2,206,0
2025-03-04-20-31-07,105255146,-0.388,-0.354,-0.22,245,70,32.52,2,206,0
2025-03-04-20-31-08,105256136,-0.019,0.206,-0.187,245,70,32.52,2,206,0
2025-03-04-20-31-09,105257126,-0.043,-0.057,-0.182,245,70,32.53,2,206,0
2025-03-04-20-31-10,105258116,-0.201,-0.014,-0.278,245,70,32.54,2,206,0
2025-03-04-20-31-11,105259106,0.163,-0.029,-0.263,245,70,32.55,2,206,0
2025-03-04-20-31-12,105260096,-0.053,-0.024,-0.225,245,70,32.55,2,206,0
2025-03-04-20-31-13,105261119,0.153,0.124,-0.182,245,70,32.55,2,206,0
2025-03-04-20-31-14,105262076,0.962,-2.684,-0.23,245,70,32.56,2,206,0
2025-03-04-20-31-15,105263099,0.024,0.182,-0.211,245,70,32.57,2,206,0
2025-03-04-20-31-16,105264089,-0.1,-0.043,-0.239,245,70,32.59,2,206,0
2025-03-04-20-31-17,105265079,-0.129,0.038,-0.22,245,70,32.59,2,206,0
2025-03-04-20-31-18,105266069,-0.148,-0.105,-0.239,245,70,32.6,2,206,0
2025-03-04-20-31-19,105267125,0.225,0.172,-0.163,245,70,32.61,2,206,0
2025-03-04-20-31-20,105268115,0.225,-0.048,-0.23,245,70,32.61,3,206,0
2025-03-04-20-31-21,105269105,-0.22,-0.23,-0.182,245,70,32.61,3,206,0
2025-03-04-20-31-22,105270095,1.292,-1.704,-0.172,245,70,32.63,3,206,0
2025-03-04-20-31-23,105271052,2.134,-4.283,-0.182,245,70,32.63,3,206,0
2025-03-04-20-31-24,105272108,-0.34,0.158,-0.249,245,70,32.64,3,206,0
2025-03-04-20-31-25,105273065,-0.474,-0.048,-0.1,245,70,32.65,3,206,0
2025-03-04-20-31-26,105274121,-0.005,-0.081,-0.225,245,70,32.66,3,206,0
2025-03-04-20-31-27,105275045,-0.325,-0.254,-0.234,245,70,32.67,3,206,0
2025-03-04-20-31-28,105276101,-0.914,-0.904,-0.22,245,70,32.67,3,206,0
2025-03-04-20-31-29,105277124,0.053,0.311,-0.167,245,70,32.68,3,206,0
2025-03-04-20-31-30,105278081,-0.287,0.153,-0.273,245,70,32.7,3,206,0
2025-03-04-20-31-31,105279137,0.163,-3.177,-0.268,245,70,32.71,3,206,0
2025-03-04-20-31-32,105280127,-5.187,-3.661,-0.306,245,70,32.71,3,206,0
2025-03-04-20-31-33,105281084,0.043,0.321,-0.239,245,70,32.72,3,206,0
2025-03-04-20-31-34,105282140,1.096,0.569,-0.297,245,70,32.73,3,206,0
2025-03-04-20-31-35,105283097,0.177,0.067,-0.206,245,70,32.74,3,206,0
2025-03-04-20-31-36,105284087,0.038,0.019,-0.254,245,70,32.76,3,206,0
2025-03-04-20-31-37,105285110,1.727,1.278,-0.211,245,70,32.77,3,206,0
2025-03-04-20-31-38,105286133,-0.043,0.043,-0.234,245,70,32.77,3,206,0
2025-03-04-20-31-39,105287090,-0.043,-0.254,-0.225,245,70,32.78,3,206,0
2025-03-04-20-31-40,105288113,-1.354,-2.594,-0.215,245,70,32.8,3,206,0
2025-03-04-20-31-41,105289103,-4.187,-2.34,-0.22,245,70,32.81,3,206,0
2025-03-04-20-31-42,105290093,-3.737,-1.866,-0.239,245,70,32.81,3,206,0
2025-03-04-20-31-43,105291116,-1.364,-0.933,-0.23,245,70,32.82,3,206,0
2025-03-04-20-31-44,105292106,-0.139,0.029,-0.163,245,70,32.83,3,206,0
2025-03-04-20-31-45,105293063,0.005,0.134,-0.234,245,70,32.84,3,206,0
2025-03-04-20-31-46,105294119,-0.12,0.172,-0.196,245,70,32.85,3,206,0
2025-03-04-20-31-47,105295076,-0.282,-0.397,-0.239,245,70,32.86,3,206,0
2025-03-04-20-31-48,105296066,0.014,0.105,-0.23,245,70,32.87,3,206,0
2025-03-04-20-31-49,105297089,-0.23,-0.282,-0.249,245,70,32.88,3,206,0
2025-03-04-20-31-50,105298079,-0.598,-0.756,-0.292,245,70,32.89,3,206,0
2025-03-04-20-31-51,105299069,-0.215,0.153,-0.225,245,70,32.9,3,206,0
2025-03-04-20-31-52,105300125,0.129,-0.014,-0.225,245,70,32.91,3,206,0
2025-03-04-20-31-53,105301115,-0.072,0.024,-0.225,245,70,32.92,3,206,0
2025-03-04-20-31-54,105302072,0.067,-0.057,-0.22,245,70,32.92,3,206,0
2025-03-04-20-31-55,105303062,-0.167,-0.148,-0.23,245,70,32.93,3,206,0
2025-03-04-20-31-56,105304118,-0.153,0.273,-0.23,245,70,32.94,3,206,0
2025-03-04-20-31-57,105305075,-0.091,-0.019,-0.287,245,70,32.95,3,206,0
2025-03-04-20-31-58,105306065,0.115,-0.086,-0.225,245,70,32.96,3,206,0
2025-03-04-20-31-59,105307088,-0.129,0.22,-0.196,245,70,32.97,3,206,0
2025-03-04-20-32-00,105308045,0.019,-0.163,-0.263,245,70,32.97,3,206,0
2025-03-04-20-32-01,105309068,0.177,0.077,-0.206,245,70,32.99,3,206,0
2025-03-04-20-32-02,105310124,-0.124,0.187,-0.22,245,70,32.99,3,206,0
2025-03-04-20-32-03,105311081,-0.187,-0.014,-0.187,245,70,33,3,206,0
2025-03-04-20-32-04,105312104,-0.12,-0.239,-0.211,245,70,33.01,3,206,0
2025-03-04-20-32-05,105313127,0.172,-0.244,-0.225,245,70,33.02,3,206,0
2025-03-04-20-32-06,105314084,1.187,1.565,-0.225,245,70,33.02,3,206,0
2025-03-04-20-32-07,105315074,0.134,0.077,-0.23,245,70,33.03,3,206,0
2025-03-04-20-32-08,105316097,0.12,0.139,-0.249,245,70,33.04,3,206,0
2025-03-04-20-32-09,105317021,-0.086,-0.019,-0.234,245,70,33.05,3,206,0
2025-03-04-20-32-10,105318110,-0.249,-0.435,-0.282,245,70,33.06,3,206,0
2025-03-04-20-32-11,105319067,0.215,-0.043,-0.23,245,70,33.06,3,206,0
2025-03-04-20-32-12,105320090,0.038,-0.053,-0.258,245,70,33.07,3,206,0
2025-03-04-20-32-13,105321080,-1.23,-1.187,-0.234,245,70,33.08,3,206,0
2025-03-04-20-32-14,105322070,-0.067,0.014,-0.22,245,70,33.08,3,206,0
2025-03-04-20-32-15,105323060,-0.024,0.091,-0.182,245,70,33.09,3,206,0
2025-03-04-20-32-16,105324083,0.105,0.268,-0.292,245,70,33.1,3,206,0
2025-03-04-20-32-17,105325007,0,0.172,-0.225,245,70,33.11,4,206,0
2025-03-04-20-32-18,105326096,0.1,-0.038,-0.211,245,70,33.12,4,206,0
2025-03-04-20-32-19,105327119,-0.885,-1.249,-0.278,245,70,33.14,4,206,0
2025-03-04-20-32-20,105328109,0.024,0.225,-0.292,245,70,33.15,4,206,0
2025-03-04-20-32-21,105329099,-2.192,-1.211,-0.258,245,70,33.15,4,206,0
2025-03-04-20-32-22,105330056,0.105,0.837,-0.187,245,70,33.16,4,206,0
2025-03-04-20-32-23,105331112,-0.077,-0.469,-0.254,245,70,33.17,4,206,0
2025-03-04-20-32-24,105332069,-0.378,-2.952,-0.225,245,70,33.18,4,206,0
2025-03-04-20-32-25,105333125,0.297,0.938,-0.278,245,70,33.19,4,206,0
2025-03-04-20-32-26,105334115,-0.947,-0.254,-0.177,245,70,33.2,4,206,0
2025-03-04-20-32-27,105335105,-0.354,0.225,-0.282,245,70,33.2,4,206,0
2025-03-04-20-32-28,105336095,-0.134,-0.321,-0.249,245,70,33.22,4,206,0
2025-03-04-20-32-29,105337118,0.038,0.033,-0.244,245,70,33.22,4,206,0
2025-03-04-20-32-30,105338108,-0.12,0.053,-0.263,245,70,33.24,4,206,0
2025-03-04-20-32-31,105339131,-0.139,-0.182,-0.206,245,70,33.24,4,206,0
2025-03-04-20-32-32,105340088,0.163,0.019,-0.158,245,70,33.25,4,206,0
2025-03-04-20-32-33,105341078,-0.134,0.086,-0.206,245,70,33.26,4,206,0
2025-03-04-20-32-34,105342134,0.215,0,-0.249,245,70,33.27,4,206,0
2025-03-04-20-32-35,105343091,0.124,-0.177,-0.282,245,70,33.28,4,206,0
2025-03-04-20-32-36,105344081,-0.45,-0.239,-0.263,245,70,33.28,4,206,0
2025-03-04-20-32-37,105345137,-0.148,-0.053,-0.22,245,70,33.3,4,206,0
2025-03-04-20-32-38,105346094,0.139,-0.005,-0.158,245,70,33.3,4,206,0
2025-03-04-20-32-39,105347084,0.144,0.234,-0.167,245,70,33.32,4,206,0
2025-03-04-20-32-40,105348107,0.187,0.201,-0.23,245,70,33.33,4,206,0
2025-03-04-20-32-41,105349064,-0.038,-0.211,-0.278,245,70,33.34,4,206,0
2025-03-04-20-32-42,105350087,0.096,0.1,-0.23,245,70,33.35,4,206,0
2025-03-04-20-32-43,105351110,0.268,0.211,-0.211,245,70,33.36,4,206,0
2025-03-04-20-32-44,105352100,0.12,0,-0.22,245,70,33.38,4,206,0
2025-03-04-20-32-45,105353057,-0.086,-0.191,-0.23,245,70,33.39,4,206,0
2025-03-04-20-32-46,105354080,0.124,0.129,-0.215,245,70,33.39,4,206,0
2025-03-04-20-32-47,105355004,-0.005,0.144,-0.234,245,70,33.4,4,206,0
2025-03-04-20-32-48,105356060,-0.043,-0.11,-0.22,245,70,33.41,4,206,0
2025-03-04-20-32-49,105357116,0.378,0.321,-0.234,245,70,33.43,4,206,0
2025-03-04-20-32-50,105358073,0.1,0.258,-0.244,245,70,33.43,4,206,0
2025-03-04-20-32-51,105359096,0.014,-0.081,-0.225,245,70,33.44,4,206,0
2025-03-04-20-32-52,105360086,0.115,0.206,-0.172,245,70,33.46,4,206,0
2025-03-04-20-32-53,105361109,0.306,0.043,-0.254,245,70,33.47,4,206,0
2025-03-04-20-32-54,105362066,-0.062,-0.077,-0.254,245,70,33.47,4,206,0
2025-03-04-20-32-55,105363122,-0.043,0.139,-0.215,245,70,33.48,4,206,0
2025-03-04-20-32-56,105364079,0.321,-0.191,-0.282,245,70,33.5,4,206,0
2025-03-04-20-32-57,105365102,0.096,-0.077,-0.254,245,70,33.5,4,206,0
2025-03-04-20-32-58,105366125,0.014,-0.081,-0.244,245,70,33.52,4,206,0
2025-03-04-20-32-59,105367115,-0.043,0,-0.182,245,70,33.53,4,206,0
2025-03-04-20-33-00,105368105,0.043,0.024,-0.239,245,70,33.54,4,206,0
2025-03-04-20-33-01,105369095,-0.297,0.081,-0.225,245,70,33.54,4,206,0
2025-03-04-20-33-02,105370052,0.249,0.244,-0.273,245,70,33.56,4,206,0
2025-03-04-20-33-03,105370976,0.005,-0.225,-0.273,245,70,33.58,4,206,0
2025-03-04-20-33-04,105372098,-0.077,-0.077,-0.22,245,70,33.58,4,206,0
2025-03-04-20-33-05,105373088,-0.062,-0.091,-0.278,245,70,33.59,4,206,0
2025-03-04-20-33-06,105374111,0.129,0.321,-0.249,245,70,33.6,4,206,0
2025-03-04-20-33-07,105375101,-0.033,0.206,-0.258,245,70,33.62,4,206,0
2025-03-04-20-33-08,105376124,0.067,0.057,-0.23,245,70,33.62,4,206,0
2025-03-04-20-33-09,105377114,-0.053,-0.244,-0.211,245,70,33.64,4,206,0
2025-03-04-20-33-10,105378104,0.01,0.014,-0.321,245,70,33.65,4,206,0
2025-03-04-20-33-11,105379094,-0.033,-0.33,-0.311,245,70,33.65,4,206,0
2025-03-04-20-33-12,105380051,0.062,0.306,-0.239,245,70,33.66,4,206,0
2025-03-04-20-33-13,105381107,-0.349,0.225,-0.182,245,70,33.67,4,206,0
2025-03-04-20-33-14,105382064,-0.163,0.225,-0.225,245,70,33.69,4,206,0
2025-03-04-20-33-15,105383087,-0.12,0.048,-0.273,245,70,33.69,5,206,0
2025-03-04-20-33-16,105384077,0.062,0.024,-0.234,245,70,33.7,5,206,0
2025-03-04-20-33-17,105385067,0.598,-0.124,-0.211,245,70,33.71,5,206,0
2025-03-04-20-33-18,105386090,-0.124,0.062,-0.287,245,70,33.73,5,206,0
2025-03-04-20-33-19,105387113,-0.053,5.522,-0.258,245,70,33.73,5,206,0
2025-03-04-20-33-20,105388037,0.991,-0.479,-0.234,245,70,33.75,5,206,0
2025-03-04-20-33-21,105389093,-0.641,-0.603,-0.23,245,70,33.75,5,206,0
2025-03-04-20-33-22,105390083,-0.44,0.01,-0.22,245,70,33.76,5,206,0
2025-03-04-20-33-23,105391106,1.019,0.713,-0.201,245,70,33.77,5,206,0
2025-03-04-20-33-24,105392063,-4.436,-3.129,-0.325,245,70,33.78,5,206,0
2025-03-04-20-33-25,105393119,0.388,-0.005,-0.144,245,70,33.79,5,206,0
2025-03-04-20-33-26,105394109,-0.062,-0.33,-0.239,245,70,33.8,5,206,0
2025-03-04-20-33-27,105395099,0.024,0.191,-0.23,245,70,33.81,5,206,0
2025-03-04-20-33-28,105396089,-0.124,-0.431,-0.249,245,70,33.82,5,206,0
2025-03-04-20-33-29,105397112,-0.258,0.225,-0.211,245,70,33.84,5,206,0
2025-03-04-20-33-30,105398036,-0.048,0.249,-0.239,245,70,33.85,5,206,0
2025-03-04-20-33-31,105399092,-0.005,0.254,-0.239,245,70,33.86,5,206,0
2025-03-04-20-33-32,105400082,0.12,0,-0.268,245,70,33.86,5,206,0
2025-03-04-20-33-33,105401105,0,0.105,-0.187,245,70,33.88,5,206,0
2025-03-04-20-33-34,105402062,-0.144,0.067,-0.211,245,70,33.89,5,206,0
2025-03-04-20-33-35,105403118,-0.134,-0.077,-0.23,245,70,33.9,5,206,0
2025-03-04-20-33-36,105404042,0.062,0.177,-0.225,245,70,33.91,5,206,0
2025-03-04-20-33-37,105405098,0.072,0.057,-0.254,245,70,33.93,5,206,0
2025-03-04-20-33-38,105406022,0.038,0.033,-0.297,245,70,33.94,5,206,0
2025-03-04-20-33-39,105407078,-0.053,0.22,-0.211,245,70,33.96,5,206,0
2025-03-04-20-33-40,105408101,-0.163,0.033,-0.225,245,70,33.96,5,206,0
2025-03-04-20-33-41,105409124,0,0.167,-0.249,245,70,33.97,5,206,0
2025-03-04-20-33-42,105410081,-0.048,-0.139,-0.158,245,70,33.98,5,206,0
2025-03-04-20-33-43,105411104,0.086,0.062,-0.225,245,70,33.99,5,206,0
2025-03-04-20-33-44,105412061,-0.282,0.048,-0.249,245,70,34,5,206,0
2025-03-04-20-33-45,105413084,-0.153,0,-0.268,245,70,34.01,5,206,0
2025-03-04-20-33-46,105414107,0,-0.201,-0.234,245,70,34.02,5,206,0
2025-03-04-20-33-47,105415097,0.005,0.053,-0.268,245,70,34.03,5,206,0
2025-03-04-20-33-48,105416087,0.014,-0.086,-0.244,245,70,34.04,5,206,0
2025-03-04-20-33-49,105417110,0.172,-0.105,-0.249,245,70,34.05,5,206,0
2025-03-04-20-33-50,105418067,0.124,0.019,-0.22,245,70,34.06,5,206,0
2025-03-04-20-33-51,105419090,-0.057,-0.301,-0.258,245,70,34.07,5,206,0
2025-03-04-20-33-52,105420113,0.043,0.091,-0.211,245,70,34.07,5,206,0
2025-03-04-20-33-53,105421037,-0.144,0.139,-0.244,245,70,34.08,5,206,0
2025-03-04-20-33-54,105422060,0.005,-0.043,-0.321,245,70,34.09,5,206,0
2025-03-04-20-33-55,105423116,-0.148,-0.167,-0.239,245,70,34.11,5,206,0
2025-03-04-20-33-56,105424040,0.225,-0.014,-0.282,245,70,34.12,5,206,0
2025-03-04-20-33-57,105424931,0.014,0.1,-0.263,245,70,34.13,5,206,0
2025-03-04-20-33-58,105426119,0.062,0.144,-0.239,245,70,34.14,5,206,0
2025-03-04-20-33-59,105427076,-0.144,-0.139,-0.239,245,70,34.14,5,206,0
2025-03-04-20-34-00,105428033,2.914,1.976,-0.239,245,70,34.16,5,206,0
2025-03-04-20-34-01,105429089,-0.172,0.091,-0.234,245,70,34.17,5,206,0
2025-03-04-20-34-02,105430013,-0.062,-0.124,-0.287,245,70,34.17,5,206,0
2025-03-04-20-34-03,105431069,0.191,0.139,-0.249,245,70,34.19,5,206,0
2025-03-04-20-34-04,105432125,-0.053,-0.239,-0.234,245,70,34.19,5,206,0
2025-03-04-20-34-05,105433115,-0.282,-0.115,-0.287,245,70,34.2,5,206,0
2025-03-04-20-34-06,105433907,-0.244,-0.11,-0.258,245,70,34.21,5,206,0
2025-03-04-20-34-07,105435095,-0.072,-0.158,-0.239,245,70,34.22,5,206,0
2025-03-04-20-34-08,105436019,-0.072,-0.201,-0.263,245,70,34.23,5,206,0
2025-03-04-20-34-09,105437108,0.182,-0.024,-0.163,245,70,34.24,5,206,0
